CustomerID,Gender,MaritalStatus,PaymentMethod,SpendingTarget,EstimatedIncome,CreditAmount,TermLoanMonths,YearlyInterestRate,MonthlyCharges,TotalAmountPayments,CurrentLoans,SustainabilityIndicator,EmploymentStatus,ExistingCustomer,Nationality,BKR_Registration,DefaultInd
8191-XWSZG,Female,Married,Mailed check,Other,"€ 27,000.00","€ 8,330.00",54,9.5%,€ 190.18,"€ 10,269.45",0,Yes,Self-Employed,No,Dutch,No,0
9959-WOFKT,Male,Married,Bank transfer,Study loan debt,"€ 42,000.00","€ 5,080.00",90,9.8%,€ 79.93,"€ 7,193.37",1,No,Employed,Yes,Italian,No,0
4190-MFLUW,Female,Married,Bank transfer,Other,"€ 47,000.00","€ 9,060.00",79,9.3%,€ 153.78,"€ 12,148.74",0,Yes,Employed,No,Dutch,No,0
4183-MYFRB,Female,Divorced,Bank transfer,Outstanding loan,"€ 62,000.00","€ 17,890.00",119,9.8%,€ 235.60,"€ 28,036.90",0,No,Employed,No,Dutch,No,0
8779-QRDMV,Male,Married,Bank transfer,Renovation,"€ 74,000.00","€ 20,000.00",100,9.3%,€ 288.15,"€ 28,814.82",0,Yes,Employed,No,Dutch,No,0
1680-VDCWW,Male,Single,Bank transfer,Outstanding loan,"€ 46,000.00","€ 12,060.00",68,9.7%,€ 231.24,"€ 15,724.09",0,No,Employed,No,Dutch,No,1
1066-JKSGK,Male,Registered partnership,Bank transfer,Car,"€ 66,000.00","€ 26,060.00",43,9.5%,€ 717.41,"€ 30,848.84",0,Yes,Self-Employed,No,Dutch,No,0
3638-WEABW,Female,Single,Bank transfer,Other,"€ 40,000.00","€ 28,150.00",50,9.1%,€ 678.57,"€ 33,928.56",0,Yes,Employed,No,DUTCH,No,1
6322-HRPFA,Male,Registered partnership,Electronic check,Study,"€ 48,000.00","€ 14,810.00",65,8.2%,€ 282.95,"€ 18,391.46",0,No,Employed,No,Dutch,No,0
6865-JZNKO,Female,Single,Electronic check,Renovation,"€ 76,000.00","€ 13,000.00",107,9.9%,€ 183.38,"€ 19,621.51",1,Yes,Employed,Yes,Dutch,No,0
6467-CHFZW,Male,Divorced,Electronic check,Study loan debt,"€ 42,000.00","€ 9,030.00",110,9.9%,€ 125.21,"€ 13,773.50",0,No,Employed,No,Dutch,No,0
8665-UTDHZ,Male,Widowed,Electronic check,Study,"€ 87,000.00","€ 48,000.00",36,9.3%,"€ 1,533.10","€ 55,191.53",0,No,Freelancer,No,Dutch,No,1
5248-YGIJN,Male,Married,Bank transfer,Study loan debt,"€ 26,000.00","€ 29,190.00",35,8.8%,€ 948.64,"€ 33,202.44",0,No,Employed,No,Dutch,No,0
8773-HHUOZ,Female,Single,Bank transfer,Study loan debt,"€ 79,000.00","€ 5,000.00",61,9.3%,€ 103.17,"€ 6,293.65",0,No,Employed,No,Dutch,No,0
3841-NFECX,Female,Married,Bank transfer,Study,"€ 68,000.00","€ 10,640.00",28,8.9%,€ 422.22,"€ 11,822.26",0,No,Employed,No,Dutch,No,0
4929-XIHVW,Male,Widowed,Bank transfer,Study,"€ 84,000.00","€ 18,000.00",21,9.0%,€ 929.62,"€ 195,219.71",0,No,Employed,No,Estonian,No,0
6827-IEAUQ,Female,Divorced,Bank transfer,Other,"€ 24,000.00","€ 27,040.00",76,9.9%,€ 480.33,"€ 36,504.96",0,Yes,Employed,No,Dutch,No,0
7310-EGVHZ,Male,Widowed,Credit card,Study loan debt,"€ 45,000.00","€ 23,140.00",56,9.2%,€ 509.80,"€ 28,548.99",1,No,Employed,Yes,Dutch,No,0
3413-BMNZE,Male,Married,Credit card,Outstanding loan,"€ 76,000.00","€ 10,000.00",15,8.5%,€ 705.07,"€ 10,576.00",0,No,Employed,No,Dutch,No,0
6234-RAAPL,Female,Married,Mailed check,Study loan debt,"€ 41,000.00","€ 10,490.00",106,9.9%,€ 148.84,"€ 15,777.47",0,No,Self-Employed,No,Dutch,No,0
6047-YHPVI,Male,Widowed,Bank transfer,Study loan debt,"€ 74,000.00","€ 27,000.00",109,9.4%,€ 369.24,"€ 40,246.93",0,No,Self-Employed,No,Dutch,No,0
6572-ADKRS,Female,Single,Bank transfer,Renovation,"€ 80,000.00","€ 27,000.00",64,8.7%,€ 528.79,"€ 338,427.15",0,Yes,Employed,No,Dutch,No,0
5380-WJKOV,Male,Registered partnership,Credit card,Outstanding loan,"€ 52,000.00","€ 24,490.00",95,9.8%,€ 371.59,"€ 35,301.37",1,No,Employed,Yes,Dutch,No,0
8168-UQWWF,Female,Married,Bank transfer,Study loan debt,"€ 28,000.00","€ 11,680.00",106,9.3%,€ 161.98,"€ 17,169.91",0,No,Employed,No,Dutch,No,0
8865-TNMNX,Male,Married,Bank transfer,Outstanding loan,"€ 53,000.00","€ 16,240.00",100,9.2%,€ 233.12,"€ 23,312.33",3,No,Employed,Yes,Dutch,No,0
9489-DEDVP,Female,Divorced,Mailed check,Car,"€ 59,000.00","€ 6,090.00",41,9.0%,€ 173.09,"€ 7,096.88",0,Yes,Employed,No,Dutch,No,0
9867-JCZSP,Female,Single,Mailed check,Study loan debt,"€ 23,000.00","€ 18,480.00",112,9.8%,€ 252.43,"€ 28,272.63",0,No,Employed,No,Dutch,Yes,1
4671-VJLCL,Female,Single,Credit card,Outstanding loan,"€ 84,000.00","€ 25,000.00",90,9.3%,€ 386.86,"€ 34,817.12",0,No,Employed,No,Dutch,No,0
4080-IIARD,Female,Single,Bank transfer,,"€ 24,000.00","€ 23,360.00",106,9.2%,€ 322.72,"€ 34,208.33",0,No,Employed,No,Dutch,No,0
3714-NTNFO,Female,Single,Bank transfer,Study loan debt,"€ 60,000.00","€ 12,060.00",104,9.8%,€ 172.54,"€ 17,944.22",1,No,Freelancer,Yes,Dutch,No,1
5948-UJZLF,Male,Registered partnership,Electronic check,Study loan debt,"€ 67,000.00","€ 22,210.00",37,8.2%,€ 681.39,"€ 25,211.30",0,No,Employed,No,Dutch,No,0
7760-OYPDY,Female,Divorced,Mailed check,Outstanding loan,"€ 43,000.00","€ 29,830.00",97,9.9%,€ 448.02,"€ 43,457.47",0,No,Self-Employed,No,Dutch,No,0
7639-LIAYI,Male,Married,Bank transfer,Study loan debt,"€ 27,000.00","€ 27,420.00",35,9.5%,€ 900.05,"€ 31,501.73",0,No,Employed,No,Dutch,No,0
2954-PIBKO,Female,Single,Electronic check,Outstanding loan,"€ 24,000.00","€ 13,050.00",15,9.4%,€ 925.51,"€ 13,882.69",0,No,Employed,No,Dutch,No,0
8012-SOUDQ,Female,Single,Bank transfer,Car,"€ 38,000.00","€ 27,620.00",69,9.3%,€ 518.32,"€ 35,764.35",0,Yes,Self-Employed,No,Dutch,No,0
9420-LOJKX,Female,Single,Electronic check,Other,"€ 35,000.00","€ 16,390.00",85,9.6%,€ 266.50,"€ 22,652.36",0,Yes,Employed,No,Dutch,No,0
6575-SUVOI,Female,Married,Credit card,Car,"€ 25,000.00","€ 19,110.00",27,8.4%,€ 779.24,"€ 21,039.36",0,Yes,Self-Employed,No,Dutch,No,0
7495-OOKFY,Female,Registered partnership,Bank transfer,Other,"€ 30,000.00","€ 19,880.00",103,9.7%,€ 285.12,"€ 29,367.00",0,Yes,Self-Employed,No,Dutch,No,0
4667-QONEA,Female,Divorced,Bank transfer,Outstanding loan,"€ 25,000.00","€ 18,290.00",89,9.5%,€ 287.12,"€ 25,553.28",1,No,Self-Employed,Yes,Dutch,No,0
1658-BYGOY,Male,Married,Credit card,Car,"€ 53,000.00","€ 10,060.00",88,9.9%,€ 161.24,"€ 14,189.49",1,Yes,Freelancer,Yes,Dutch,No,0
8769-KKTPH,Female,,Bank transfer,Outstanding loan,"€ 51,000.00","€ 27,050.00",74,9.4%,€ 483.06,"€ 35,746.12",0,No,Employed,No,Dutch,No,0
5067-XJQFU,Male,Married,Bank transfer,Outstanding loan,"€ 42,000.00","€ 28,010.00",90,9.6%,€ 437.78,"€ 39,400.50",3,No,Employed,Yes,Dutch,No,0
3957-SQXML,Female,Married,Credit card,Study,"€ 46,000.00","€ 25,310.00",93,9.8%,€ 389.52,"€ 36,224.99",0,No,Employed,No,Dutch,No,0
5954-BDFSG,Female,Married,Bank transfer,,"€ 69,000.00","€ 21,860.00",69,9.2%,€ 409.15,"€ 28,231.16",0,No,Employed,No,Dutch,No,0
0434-CSFON,Female,Divorced,Bank transfer,Study loan debt,"€ 25,000.00","€ 28,170.00",108,9.6%,€ 390.52,"€ 42,176.23",0,No,Employed,No,Dutch,No,1
1215-FIGMP,Male,Single,Mailed check,Car,"€ 62,000.00","€ 8,590.00",103,9.9%,€ 124.11,"€ 12,783.79",0,Yes,Employed,No,Dutch,No,0
0526-SXDJP,Male,Divorced,Bank transfer,Study,"€ 64,000.00","€ 6,620.00",69,8.7%,€ 122.27,"€ 8,436.79",1,No,Employed,Yes,Dutch,No,0
0557-ASKVU,Female,Widowed,Bank transfer,Renovation,"€ 59,000.00","€ 20,670.00",83,9.9%,€ 344.94,"€ 28,630.21",0,Yes,Self-Employed,No,Dutch,No,0
5698-BQJOH,Female,Divorced,Bank transfer,Study loan debt,"€ 30,000.00","€ 24,190.00",116,9.3%,€ 316.88,"€ 36,758.65",0,No,Self-Employed,No,Estonian,No,1
5122-CYFXA,Female,Single,Credit card,Study,"€ 42,000.00","€ 14,120.00",14,8.9%,"€ 1,065.57","€ 14,918.00",0,No,Employed,No,Dutch,No,0
8627-ZYGSZ,Male,Divorced,Bank transfer,Study loan debt,"€ 70,000.00","€ 9,000.00",97,9.6%,€ 133.75,"€ 12,973.37",2,No,Employed,Yes,Dutch,No,0
3410-YOQBQ,Female,Single,Bank transfer,Car,"€ 75,000.00","€ 27,000.00",109,9.3%,€ 367.79,"€ 40,089.47",0,Yes,Employed,No,Dutch,No,0
3170-NMYVV,Female,Single,Electronic check,Study loan debt,"€ 76,000.00","€ 10,000.00",85,9.5%,€ 162.08,"€ 13,777.19",0,No,Self-Employed,No,Dutch,No,0
7410-OIEDU,Male,Divorced,Mailed check,Other,"€ 74,000.00","€ 38,000.00",80,9.5%,€ 643.01,"€ 51,440.42",2,Yes,Self-Employed,Yes,Indian,No,0
2273-QCKXA,Male,Divorced,Electronic check,Car,"€ 81,000.00","€ 30,000.00",88,9.4%,€ 473.08,"€ 41,631.47",0,Yes,Employed,No,Dutch,No,0
0731-EBJQB,Female,Married,Credit card,Other,"€ 78,000.00","€ 31,000.00",69,9.1%,€ 578.68,"€ 39,929.22",3,Yes,Employed,Yes,Dutch,No,0
1891-QRQSA,Male,Married,Bank transfer,Study,"€ 45,000.00","€ 20,430.00",78,9.7%,€ 354.14,"€ 27,622.70",0,No,Employed,No,Dutch,No,0
8028-PNXHQ,Male,Married,Credit card,Study,"€ 74,000.00","€ 41,000.00",119,9.4%,€ 530.97,"€ 63,185.44",1,No,Self-Employed,Yes,Dutch,No,0
5630-AHZIL,Female,Single,Credit card,Study,"€ 47,000.00","€ 24,100.00",34,9.1%,€ 806.79,"€ 27,431.02",0,No,Employed,No,Dutch,No,0
2673-CXQEU,Female,Registered partnership,Mailed check,Study loan debt,"€ 64,000.00","€ 7,390.00",62,9.1%,€ 149.84,"€ 9,290.38",0,No,Employed,No,Dutch,No,0
6416-JNVRK,Female,Divorced,Credit card,Study loan debt,"€ 70,000.00","€ 26,000.00",98,9.8%,€ 386.51,"€ 37,878.12",2,No,Self-Employed,Yes,Dutch,No,0
5590-ZSKRV,Female,Divorced,Electronic check,Other,"€ 73,000.00","€ 14,000.00",110,9.5%,€ 191.11,"€ 21,021.58",0,Yes,Employed,No,Dutch,No,0
0191-ZHSKZ,Male,Married,Bank transfer,Outstanding loan,"€ 82,000.00","€ 25,000.00",34,8.4%,€ 828.82,"€ 28,179.89",0,No,Freelancer,No,Dutch,No,0
3887-PBQAO,Female,Single,Bank transfer,Other,"€ 87,000.00","€ 19,000.00",107,9.4%,€ 262.92,"€ 28,132.24",0,Yes,Self-Employed,No,Dutch,No,0
5919-TMRGD,Female,Single,Bank transfer,Car,"€ 33,000.00","€ 11,010.00",117,9.3%,€ 143.47,"€ 16,785.70",0,Yes,Employed,No,Austrian,No,0
8108-UXRQN,Female,Single,Credit card,Study loan debt,"€ 86,000.00","€ 16,000.00",78,9.3%,€ 274.11,"€ 21,380.36",0,No,Employed,No,Dutch,No,0
9191-MYQKX,Female,Single,Bank transfer,Outstanding loan,"€ 73,000.00","€ 46,000.00",68,9.3%,€ 872.86,"€ 59,354.70",0,No,Employed,No,Dutch,No,0
9919-YLNNG,Female,Registered partnership,Electronic check,Study,"€ 86,000.00","€ 46,000.00",61,8.8%,€ 938.01,"€ 57,218.89",0,No,Self-Employed,No,Dutch,No,0
0318-ZOPWS,Female,Divorced,Bank transfer,Outstanding loan,"€ 85,000.00","€ 46,000.00",104,9.6%,€ 653.20,"€ 67,932.96",0,No,Employed,No,Dutch,No,0
4445-ZJNMU,Male,Married,Bank transfer,Car,"€ 76,000.00","€ 33,000.00",35,8.2%,"€ 1,063.30","€ 37,215.49",0,Yes,Employed,No,Dutch,No,0
4808-YNLEU,Female,Registered partnership,Bank transfer,Study loan debt,"€ 36,000.00","€ 19,450.00",25,9.4%,€ 859.70,"€ 21,492.44",0,No,Self-Employed,No,Dutch,No,0
1862-QRWPE,Female,Married,Mailed check,Study loan debt,"€ 47,000.00","€ 29,840.00",76,9.6%,€ 525.53,"€ 39,940.59",0,No,Self-Employed,No,Dutch,No,0
2796-NNUFI,Female,Widowed,Bank transfer,Car,"€ 89,000.00","€ 37,000.00",103,9.7%,€ 530.65,"€ 54,656.89",0,Yes,Employed,No,Dutch,No,0
3016-KSVCP,Male,Married,Credit card,Other,"€ 84,000.00","€ 23,000.00",119,9.2%,€ 295.36,"€ 35,147.69",0,Yes,Freelancer,No,Dutch,No,0
4767-HZZHQ,Male,Single,Credit card,Car,"€ 59,000.00","€ 12,250.00",99,9.5%,€ 178.96,"€ 177,172.33",0,Yes,Employed,No,Belgian,No,0
2424-WVHPL,Male,Widowed,Electronic check,Car,"€ 42,000.00","€ 22,380.00",18,9.1%,"€ 1,334.82","€ 24,026.79",3,Yes,Self-Employed,Yes,Dutch,No,0
7233-PAHHL,Male,Married,Credit card,Study loan debt,"€ 88,000.00","€ 37,000.00",67,8.7%,€ 699.14,"€ 46,842.42",0,No,Employed,No,Dutch,No,0
6067-NGCEU,Female,Married,Bank transfer,Outstanding loan,"€ 79,000.00","€ 22,000.00",21,8.2%,"€ 1,128.15","€ 23,691.19",2,No,Self-Employed,Yes,Dutch,No,0
9848-JQJTX,Male,Single,Bank transfer,Car,"€ 71,000.00","€ 5,000.00",65,8.5%,€ 96.25,"€ 6,256.44",0,Yes,Employed,No,Dutch,No,0
8637-XJIVR,Female,Registered partnership,Credit card,Outstanding loan,"€ 80,000.00","€ 5,000.00",24,9.0%,€ 228.42,"€ 5,482.17",0,No,Employed,No,Dutch,No,0
9803-FTJCG,Male,Married,Bank transfer,Study loan debt,"€ 70,000.00","€ 39,000.00",75,9.2%,€ 685.69,"€ 51,426.43",0,No,Employed,No,Dutch,No,0
0278-YXOOG,Male,Married,Bank transfer,Study loan debt,"€ 62,000.00","€ 13,580.00",96,9.3%,€ 201.07,"€ 19,302.68",0,No,Employed,No,Dutch,No,0
3212-KXOCR,Male,Married,Bank transfer,Study loan debt,"€ 88,000.00","€ 9,000.00",94,9.5%,€ 136.11,"€ 12,794.29",0,No,Employed,No,Dutch,No,0
4598-XLKNJ,Female,Single,Mailed check,Car,"€ 82,000.00","€ 28,000.00",40,8.6%,€ 807.61,"€ 32,304.35",0,Yes,Employed,No,Dutch,No,0
6380-ARCEH,Male,Single,Bank transfer,Study loan debt,"€ 84,000.00","€ 15,000.00",74,9.7%,€ 270.13,"€ 19,989.64",1,No,Employed,Yes,Turkish,No,0
3679-XASPY,Female,Registered partnership,Electronic check,Renovation,"€ 49,000.00","€ 14,560.00",17,9.5%,€ 918.78,"€ 15,619.21",0,Yes,Self-Employed,No,Dutch,No,0
7123-WQUHX,Male,Married,Bank transfer,Renovation,"€ 62,000.00","€ 23,640.00",53,8.5%,€ 536.55,"€ 28,437.08",0,Yes,Self-Employed,No,Algerian,No,0
5386-THSLQ,Female,Married,Electronic check,Study,"€ 41,000.00","€ 15,390.00",109,9.3%,€ 209.64,"€ 22,851.00",0,No,Employed,No,Dutch,No,0
3192-NQECA,Male,Single,Bank transfer,Study loan debt,"€ 25,000.00","€ 17,630.00",48,9.9%,€ 446.30,"€ 21,422.22",0,No,Freelancer,No,Dutch,No,1
6180-YBIQI,Male,Divorced,Electronic check,Other,"€ 40,000.00","€ 22,050.00",119,9.7%,€ 289.18,"€ 34,412.15",0,Yes,Employed,No,Dutch,No,0
6728-DKUCO,Female,Single,Electronic check,Study loan debt,"€ 83,000.00","€ 14,000.00",24,8.4%,€ 635.74,"€ 15,257.74",0,No,Employed,No,Dutch,No,1
9750-BOOHV,Female,Single,Electronic check,Outstanding loan,"€ 67,000.00","€ 20,620.00",62,9.0%,€ 417.10,"€ 25,860.22",0,No,Employed,No,Dutch,No,0
8597-CWYHH,Male,Single,Bank transfer,Study loan debt,"€ 54,000.00","€ 16,910.00",90,9.3%,€ 261.67,"€ 23,550.30",0,No,Self-Employed,No,Dutch,No,0
2848-YXSMW,Male,Married,Bank transfer,Study,"€ 64,000.00","€ 14,530.00",44,8.5%,€ 385.52,"€ 16,962.67",0,No,Freelancer,No,Dutch,No,0
0486-HECZI,Male,Married,Electronic check,Study loan debt,"€ 31,000.00","€ 24,370.00",29,8.9%,€ 937.05,"€ 27,174.58",0,No,Employed,No,Dutch,No,0
4549-ZDQYY,Female,Married,Bank transfer,Other,"€ 34,000.00","€ 16,670.00",20,9.3%,€ 902.98,"€ 18,059.67",2,Yes,Freelancer,Yes,Dutch,No,0
5712-AHQNN,Female,Divorced,Mailed check,,"€ 88,000.00","€ 38,000.00",117,9.3%,€ 495.16,"€ 57,934.30",0,No,Employed,No,Dutch,No,1
4846-WHAFZ,Female,Married,Bank transfer,Study loan debt,"€ 74,000.00","€ 29,000.00",17,9.7%,"€ 1,832.65","€ 31,155.03",0,No,Self-Employed,No,Dutch,No,0
5256-SKJGO,Female,Single,Bank transfer,Study loan debt,"€ 87,000.00","€ 26,000.00",14,9.9%,"€ 1,974.10","€ 27,637.38",1,No,Employed,Yes,Dutch,No,0
3071-VBYPO,Male,Married,Electronic check,Study loan debt,"€ 76,000.00","€ 39,000.00",66,9.4%,€ 759.02,"€ 50,095.56",0,No,Employed,No,Portuguese,No,0
9560-BBZXK,Female,Single,Bank transfer,Study loan debt,"€ 82,000.00","€ 12,000.00",97,9.7%,€ 178.96,"€ 17,359.12",0,No,Employed,No,German,No,0
5299-RULOA,Female,Single,Bank transfer,Study loan debt,"€ 71,000.00","€ 27,000.00",25,8.8%,"€ 1,185.97","€ 29,649.19",0,No,Employed,No,Dutch,No,0
8402-OOOHJ,Female,Married,Electronic check,Car,"€ 38,000.00","€ 15,960.00",39,8.2%,€ 467.57,"€ 18,235.17",0,Yes,Self-Employed,No,Dutch,No,0
9445-ZUEQE,Male,Single,Bank transfer,Other,"€ 48,000.00","€ 9,850.00",118,9.8%,€ 130.37,"€ 15,383.99",0,Yes,Employed,No,Dutch,No,0
1091-SOZGA,Female,Married,Bank transfer,Outstanding loan,"€ 66,000.00","€ 6,280.00",33,9.4%,€ 216.70,"€ 7,151.05",1,No,Employed,Yes,Dutch,No,0
2928-HLDBA,Female,Married,Mailed check,Study loan debt,"€ 63,000.00","€ 5,310.00",110,9.8%,€ 73.34,"€ 8,067.72",0,No,Freelancer,No,Dutch,No,0
0404-SWRVG,Male,Single,Electronic check,Study loan debt,"€ 79,000.00","€ 17,000.00",58,9.1%,€ 363.36,"€ 21,075.12",0,No,Freelancer,No,Dutch,No,1
6497-TILVL,Female,Married,Electronic check,Outstanding loan,"€ 57,000.00","€ 21,320.00",94,9.4%,€ 321.32,"€ 30,203.75",0,No,Employed,No,Dutch,No,0
7219-TLZHO,Female,Single,Electronic check,Study loan debt,"€ 70,000.00","€ 17,000.00",41,9.2%,€ 484.78,"€ 19,876.13",0,No,Employed,No,Dutch,No,0
4622-YNKIJ,Male,Single,Bank transfer,Study loan debt,"€ 87,000.00","€ 28,000.00",118,9.4%,€ 364.48,"€ 43,008.50",0,No,Self-Employed,No,Dutch,No,1
4412-YLTKF,Female,Married,Bank transfer,Renovation,"€ 62,000.00","€ 19,400.00",78,9.9%,€ 338.26,"€ 26,384.05",0,Yes,Employed,No,Dutch,No,0
6734-PSBAW,Male,Married,Electronic check,Outstanding loan,"€ 55,000.00","€ 26,810.00",92,9.3%,€ 408.63,"€ 37,593.52",0,No,Employed,No,Morocan,No,0
3930-ZGWVE,Male,Married,Electronic check,Study,"€ 34,000.00","€ 26,850.00",35,9.1%,€ 876.34,"€ 30,671.74",0,No,Employed,No,Dutch,No,0
2639-UGMAZ,Male,Divorced,Electronic check,Study loan debt,"€ 25,000.00","€ 18,620.00",105,9.6%,€ 262.79,"€ 27,592.77",1,No,Employed,Yes,Dutch,No,0
2876-GZYZC,Female,Registered partnership,Bank transfer,Car,"€ 68,000.00","€ 18,630.00",112,9.3%,€ 249.45,"€ 27,938.43",0,Yes,Employed,No,Dutch,No,0
6207-WIOLX,,Divorced,Bank transfer,Renovation,"€ 89,000.00","€ 39,000.00",98,9.3%,€ 569.50,"€ 55,811.11",0,Yes,Self-Employed,No,Dutch,No,0
8587-XYZSF,Male,Single,Bank transfer,,"€ 62,000.00","€ 25,820.00",67,9.8%,€ 501.90,"€ 33,627.63",0,No,Self-Employed,No,Dutch,No,1
3091-FYHKI,Male,Single,Bank transfer,Renovation,"€ 75,000.00","€ 29,000.00",105,9.4%,€ 406.19,"€ 42,650.27",2,Yes,Employed,Yes,Dutch,No,0
2372-HWUHI,Male,Widowed,Electronic check,Car,"€ 77,000.00","€ 49,000.00",109,9.6%,€ 675.36,"€ 73,614.09",0,Yes,Freelancer,No,Dutch,No,0
7799-LGRDP,Female,Divorced,Electronic check,Study loan debt,"€ 69,000.00","€ 8,200.00",69,9.6%,€ 155.11,"€ 10,702.31",0,No,Employed,No,Dutch,No,0
7850-VWJUU,Female,Married,Electronic check,Study,"€ 77,000.00","€ 33,000.00",42,9.3%,€ 923.53,"€ 38,788.19",1,No,Employed,Yes,Dutch,No,0
3774-VBNXY,Female,Married,Bank transfer,Other,"€ 27,000.00","€ 12,800.00",61,9.2%,€ 263.50,"€ 16,073.64",3,Yes,Freelancer,Yes,Dutch,No,0
6217-KDYWC,Male,Single,Electronic check,Other,"€ 83,000.00","€ 40,000.00",52,9.8%,€ 947.18,"€ 49,253.37",0,Yes,Self-Employed,No,Norwegian,Yes,0
0390-DCFDQ,Female,Registered partnership,Bank transfer,Study loan debt,"€ 73,000.00","€ 13,000.00",14,9.6%,€ 985.25,"€ 13,793.46",0,No,Employed,No,Dutch,No,0
3146-MSEGF,Female,Divorced,Mailed check,,"€ 59,000.00","€ 11,440.00",71,8.9%,€ 207.84,"€ 14,756.60",0,No,Self-Employed,No,Dutch,No,1
4080-OGPJL,Female,Single,Electronic check,Car,"€ 77,000.00","€ 30,000.00",119,9.8%,€ 395.09,"€ 470,154.79",0,Yes,Employed,No,Dutch,Yes,0
1095-WGNGG,Female,Divorced,Bank transfer,Study loan debt,"€ 88,000.00","€ 43,000.00",111,9.8%,€ 590.62,"€ 65,558.63",0,No,Self-Employed,No,Pakistani,No,0
2636-SJDOU,Male,Married,Electronic check,Outstanding loan,"€ 24,000.00","€ 5,320.00",91,9.4%,€ 81.97,"€ 7,459.48",0,No,Employed,No,Dutch,No,0
1131-QQZEB,Male,Married,Credit card,Outstanding loan,"€ 70,000.00","€ 28,000.00",26,8.5%,"€ 1,182.93","€ 30,756.20",1,No,Self-Employed,Yes,Dutch,No,0
5716-EZXZN,Female,Married,Bank transfer,Renovation,"€ 51,000.00","€ 22,050.00",98,9.6%,€ 325.46,"€ 31,895.35",0,Yes,Employed,No,Dutch,No,0
6837-BJYDQ,Male,Divorced,Electronic check,Study loan debt,"€ 64,000.00","€ 16,470.00",60,9.8%,€ 348.32,"€ 20,899.21",0,No,Self-Employed,No,Dutch,No,0
2135-RXIHG,Male,Married,Bank transfer,Outstanding loan,"€ 89,000.00","€ 42,000.00",14,9.6%,"€ 3,183.11","€ 44,563.50",2,No,Employed,Yes,Dutch,No,0
6440-DKQGE,Male,Single,Mailed check,Study loan debt,"€ 88,000.00","€ 16,000.00",112,9.6%,€ 216.82,"€ 24,284.19",0,No,Employed,No,Dutch,No,0
