,CustomerID,Gender,MaritalStatus,PaymentMethod,SpendingTarget,EstimatedIncome,CreditAmount,TermLoanMonths,YearlyInterestRate,MonthlyCharges,TotalAmountPayments,CurrentLoans,SustainabilityIndicator,EmploymentStatus,ExistingCustomer,Nationality,BKR_Registration,DefaultInd
69,7410-OIEDU,Male,Divorced,Mailed check,Other,74000.00,38000.00,80,9.5%,643.01,51440.42,2,Yes,Self-Employed,Yes,Indian,No,0
70,2273-QCKXA,Male,Divorced,Electronic check,Car,81000.00,30000.00,88,9.4%,473.08,41631.47,0,Yes,Employed,No,Dutch,No,0
71,0731-EBJQB,Female,Married,Credit card,Other,78000.00,31000.00,69,9.1%,578.68,39929.22,3,Yes,Employed,Yes,Dutch,No,0
72,1891-QRQSA,Male,Married,Bank transfer,Study,45000.00,20430.00,78,9.7%,354.14,27622.70,0,No,Employed,No,Dutch,No,0
73,8028-PNXHQ,Male,Married,Credit card,Study,74000.00,41000.00,119,9.4%,530.97,63185.44,1,No,Self-Employed,Yes,Dutch,No,0
74,5630-AHZIL,Female,Single,Credit card,Study,47000.00,24100.00,34,9.1%,806.79,27431.02,0,No,Employed,No,Dutch,No,0
75,2673-CXQEU,Female,Registered partnership,Mailed check,Study loan debt,64000.00,7390.00,62,9.1%,149.84,9290.38,0,No,Employed,No,Dutch,No,0
76,6416-JNVRK,Female,Divorced,Credit card,Study loan debt,70000.00,26000.00,98,9.8%,386.51,37878.12,2,No,Self-Employed,Yes,Dutch,No,0
77,5590-ZSKRV,Female,Divorced,Electronic check,Other,73000.00,14000.00,110,9.5%,191.11,21021.58,0,Yes,Employed,No,Dutch,No,0
78,0191-ZHSKZ,Male,Married,Bank transfer,Outstanding loan,82000.00,25000.00,34,8.4%,828.82,28179.89,0,No,Freelancer,No,Dutch,No,0
79,3887-PBQAO,Female,Single,Bank transfer,Other,87000.00,19000.00,107,9.4%,262.92,28132.24,0,Yes,Self-Employed,No,Dutch,No,0
80,5919-TMRGD,Female,Single,Bank transfer,Car,33000.00,11010.00,117,9.3%,143.47,16785.70,0,Yes,Employed,No,Austrian,No,0
81,8108-UXRQN,Female,Single,Credit card,Study loan debt,86000.00,16000.00,78,9.3%,274.11,21380.36,0,No,Employed,No,Dutch,No,0
82,9191-MYQKX,Female,Single,Bank transfer,Outstanding loan,73000.00,46000.00,68,9.3%,872.86,59354.70,0,No,Employed,No,Dutch,No,0
83,9919-YLNNG,Female,Registered partnership,Electronic check,Study,86000.00,46000.00,61,8.8%,938.01,57218.89,0,No,Self-Employed,No,Dutch,No,0
84,0318-ZOPWS,Female,Divorced,Bank transfer,Outstanding loan,85000.00,46000.00,104,9.6%,653.20,67932.96,0,No,Employed,No,Dutch,No,0
85,4445-ZJNMU,Male,Married,Bank transfer,Car,76000.00,33000.00,35,8.2%,1063.30,37215.49,0,Yes,Employed,No,Dutch,No,0
86,4808-YNLEU,Female,Registered partnership,Bank transfer,Study loan debt,36000.00,19450.00,25,9.4%,859.70,21492.44,0,No,Self-Employed,No,Dutch,No,0
87,1862-QRWPE,Female,Married,Mailed check,Study loan debt,47000.00,29840.00,76,9.6%,525.53,39940.59,0,No,Self-Employed,No,Dutch,No,0
88,2796-NNUFI,Female,Widowed,Bank transfer,Car,89000.00,37000.00,103,9.7%,530.65,54656.89,0,Yes,Employed,No,Dutch,No,0
89,3016-KSVCP,Male,Married,Credit card,Other,84000.00,23000.00,119,9.2%,295.36,35147.69,0,Yes,Freelancer,No,Dutch,No,0
90,4767-HZZHQ,Male,Single,Credit card,Car,59000.00,12250.00,99,9.5%,178.96,177172.33,0,Yes,Employed,No,Belgian,No,0
91,2424-WVHPL,Male,Widowed,Electronic check,Car,42000.00,22380.00,18,9.1%,1334.82,24026.79,3,Yes,Self-Employed,Yes,Dutch,No,0
92,7233-PAHHL,Male,Married,Credit card,Study loan debt,88000.00,37000.00,67,8.7%,699.14,46842.42,0,No,Employed,No,Dutch,No,0
93,6067-NGCEU,Female,Married,Bank transfer,Outstanding loan,79000.00,22000.00,21,8.2%,1128.15,23691.19,2,No,Self-Employed,Yes,Dutch,No,0
94,9848-JQJTX,Male,Single,Bank transfer,Car,71000.00,5000.00,65,8.5%,96.25,6256.44,0,Yes,Employed,No,Dutch,No,0
95,8637-XJIVR,Female,Registered partnership,Credit card,Outstanding loan,80000.00,5000.00,24,9.0%,228.42,5482.17,0,No,Employed,No,Dutch,No,0
96,9803-FTJCG,Male,Married,Bank transfer,Study loan debt,70000.00,39000.00,75,9.2%,685.69,51426.43,0,No,Employed,No,Dutch,No,0
97,0278-YXOOG,Male,Married,Bank transfer,Study loan debt,62000.00,13580.00,96,9.3%,201.07,19302.68,0,No,Employed,No,Dutch,No,0
98,3212-KXOCR,Male,Married,Bank transfer,Study loan debt,88000.00,9000.00,94,9.5%,136.11,12794.29,0,No,Employed,No,Dutch,No,0
99,4598-XLKNJ,Female,Single,Mailed check,Car,82000.00,28000.00,40,8.6%,807.61,32304.35,0,Yes,Employed,No,Dutch,No,0
100,6380-ARCEH,Male,Single,Bank transfer,Study loan debt,84000.00,15000.00,74,9.7%,270.13,19989.64,1,No,Employed,Yes,Turkish,No,0
101,3679-XASPY,Female,Registered partnership,Electronic check,Renovation,49000.00,14560.00,17,9.5%,918.78,15619.21,0,Yes,Self-Employed,No,Dutch,No,0
102,7123-WQUHX,Male,Married,Bank transfer,Renovation,62000.00,23640.00,53,8.5%,536.55,28437.08,0,Yes,Self-Employed,No,Algerian,No,0
103,5386-THSLQ,Female,Married,Electronic check,Study,41000.00,15390.00,109,9.3%,209.64,22851.00,0,No,Employed,No,Dutch,No,0
104,3192-NQECA,Male,Single,Bank transfer,Study loan debt,25000.00,17630.00,48,9.9%,446.30,21422.22,0,No,Freelancer,No,Dutch,No,1
105,6180-YBIQI,Male,Divorced,Electronic check,Other,40000.00,22050.00,119,9.7%,289.18,34412.15,0,Yes,Employed,No,Dutch,No,0
106,6728-DKUCO,Female,Single,Electronic check,Study loan debt,83000.00,14000.00,24,8.4%,635.74,15257.74,0,No,Employed,No,Dutch,No,1
107,9750-BOOHV,Female,Single,Electronic check,Outstanding loan,67000.00,20620.00,62,9.0%,417.10,25860.22,0,No,Employed,No,Dutch,No,0
108,8597-CWYHH,Male,Single,Bank transfer,Study loan debt,54000.00,16910.00,90,9.3%,261.67,23550.30,0,No,Self-Employed,No,Dutch,No,0
109,2848-YXSMW,Male,Married,Bank transfer,Study,64000.00,14530.00,44,8.5%,385.52,16962.67,0,No,Freelancer,No,Dutch,No,0
110,0486-HECZI,Male,Married,Electronic check,Study loan debt,31000.00,24370.00,29,8.9%,937.05,27174.58,0,No,Employed,No,Dutch,No,0
111,4549-ZDQYY,Female,Married,Bank transfer,Other,34000.00,16670.00,20,9.3%,902.98,18059.67,2,Yes,Freelancer,Yes,Dutch,No,0
112,5712-AHQNN,Female,Divorced,Mailed check,,88000.00,38000.00,117,9.3%,495.16,57934.30,0,No,Employed,No,Dutch,No,1
113,4846-WHAFZ,Female,Married,Bank transfer,Study loan debt,74000.00,29000.00,17,9.7%,1832.65,31155.03,0,No,Self-Employed,No,Dutch,No,0
114,5256-SKJGO,Female,Single,Bank transfer,Study loan debt,87000.00,26000.00,14,9.9%,1974.10,27637.38,1,No,Employed,Yes,Dutch,No,0
115,3071-VBYPO,Male,Married,Electronic check,Study loan debt,76000.00,39000.00,66,9.4%,759.02,50095.56,0,No,Employed,No,Portuguese,No,0
116,9560-BBZXK,Female,Single,Bank transfer,Study loan debt,82000.00,12000.00,97,9.7%,178.96,17359.12,0,No,Employed,No,German,No,0
117,5299-RULOA,Female,Single,Bank transfer,Study loan debt,71000.00,27000.00,25,8.8%,1185.97,29649.19,0,No,Employed,No,Dutch,No,0
118,8402-OOOHJ,Female,Married,Electronic check,Car,38000.00,15960.00,39,8.2%,467.57,18235.17,0,Yes,Self-Employed,No,Dutch,No,0
119,9445-ZUEQE,Male,Single,Bank transfer,Other,48000.00,9850.00,118,9.8%,130.37,15383.99,0,Yes,Employed,No,Dutch,No,0
120,1091-SOZGA,Female,Married,Bank transfer,Outstanding loan,66000.00,6280.00,33,9.4%,216.70,7151.05,1,No,Employed,Yes,Dutch,No,0
121,2928-HLDBA,Female,Married,Mailed check,Study loan debt,63000.00,5310.00,110,9.8%,73.34,8067.72,0,No,Freelancer,No,Dutch,No,0
122,0404-SWRVG,Male,Single,Electronic check,Study loan debt,79000.00,17000.00,58,9.1%,363.36,21075.12,0,No,Freelancer,No,Dutch,No,1
123,6497-TILVL,Female,Married,Electronic check,Outstanding loan,57000.00,21320.00,94,9.4%,321.32,30203.75,0,No,Employed,No,Dutch,No,0
124,7219-TLZHO,Female,Single,Electronic check,Study loan debt,70000.00,17000.00,41,9.2%,484.78,19876.13,0,No,Employed,No,Dutch,No,0
125,4622-YNKIJ,Male,Single,Bank transfer,Study loan debt,87000.00,28000.00,118,9.4%,364.48,43008.50,0,No,Self-Employed,No,Dutch,No,1
126,4412-YLTKF,Female,Married,Bank transfer,Renovation,62000.00,19400.00,78,9.9%,338.26,26384.05,0,Yes,Employed,No,Dutch,No,0
127,6734-PSBAW,Male,Married,Electronic check,Outstanding loan,55000.00,26810.00,92,9.3%,408.63,37593.52,0,No,Employed,No,Morocan,No,0
128,3930-ZGWVE,Male,Married,Electronic check,Study,34000.00,26850.00,35,9.1%,876.34,30671.74,0,No,Employed,No,Dutch,No,0
129,2639-UGMAZ,Male,Divorced,Electronic check,Study loan debt,25000.00,18620.00,105,9.6%,262.79,27592.77,1,No,Employed,Yes,Dutch,No,0
130,2876-GZYZC,Female,Registered partnership,Bank transfer,Car,68000.00,18630.00,112,9.3%,249.45,27938.43,0,Yes,Employed,No,Dutch,No,0
131,6207-WIOLX,,Divorced,Bank transfer,Renovation,89000.00,39000.00,98,9.3%,569.50,55811.11,0,Yes,Self-Employed,No,Dutch,No,0
132,8587-XYZSF,Male,Single,Bank transfer,,62000.00,25820.00,67,9.8%,501.90,33627.63,0,No,Self-Employed,No,Dutch,No,1
133,3091-FYHKI,Male,Single,Bank transfer,Renovation,75000.00,29000.00,105,9.4%,406.19,42650.27,2,Yes,Employed,Yes,Dutch,No,0
134,2372-HWUHI,Male,Widowed,Electronic check,Car,77000.00,49000.00,109,9.6%,675.36,73614.09,0,Yes,Freelancer,No,Dutch,No,0
135,7799-LGRDP,Female,Divorced,Electronic check,Study loan debt,69000.00,8200.00,69,9.6%,155.11,10702.31,0,No,Employed,No,Dutch,No,0
136,7850-VWJUU,Female,Married,Electronic check,Study,77000.00,33000.00,42,9.3%,923.53,38788.19,1,No,Employed,Yes,Dutch,No,0
137,3774-VBNXY,Female,Married,Bank transfer,Other,27000.00,12800.00,61,9.2%,263.50,16073.64,3,Yes,Freelancer,Yes,Dutch,No,0
138,6217-KDYWC,Male,Single,Electronic check,Other,83000.00,40000.00,52,9.8%,947.18,49253.37,0,Yes,Self-Employed,No,Norwegian,Yes,0
139,0390-DCFDQ,Female,Registered partnership,Bank transfer,Study loan debt,73000.00,13000.00,14,9.6%,985.25,13793.46,0,No,Employed,No,Dutch,No,0
140,3146-MSEGF,Female,Divorced,Mailed check,,59000.00,11440.00,71,8.9%,207.84,14756.60,0,No,Self-Employed,No,Dutch,No,1
141,4080-OGPJL,Female,Single,Electronic check,Car,77000.00,30000.00,119,9.8%,395.09,470154.79,0,Yes,Employed,No,Dutch,Yes,0
142,1095-WGNGG,Female,Divorced,Bank transfer,Study loan debt,88000.00,43000.00,111,9.8%,590.62,65558.63,0,No,Self-Employed,No,Pakistani,No,0
143,2636-SJDOU,Male,Married,Electronic check,Outstanding loan,24000.00,5320.00,91,9.4%,81.97,7459.48,0,No,Employed,No,Dutch,No,0
144,1131-QQZEB,Male,Married,Credit card,Outstanding loan,70000.00,28000.00,26,8.5%,1182.93,30756.20,1,No,Self-Employed,Yes,Dutch,No,0
145,5716-EZXZN,Female,Married,Bank transfer,Renovation,51000.00,22050.00,98,9.6%,325.46,31895.35,0,Yes,Employed,No,Dutch,No,0
146,6837-BJYDQ,Male,Divorced,Electronic check,Study loan debt,64000.00,16470.00,60,9.8%,348.32,20899.21,0,No,Self-Employed,No,Dutch,No,0
147,2135-RXIHG,Male,Married,Bank transfer,Outstanding loan,89000.00,42000.00,14,9.6%,3183.11,44563.50,2,No,Employed,Yes,Dutch,No,0
148,6440-DKQGE,Male,Single,Mailed check,Study loan debt,88000.00,16000.00,112,9.6%,216.82,24284.19,0,No,Employed,No,Dutch,No,0
149,3466-BYAVD,Male,Divorced,Mailed check,Study,39000.00,24180.00,34,9.7%,816.23,27751.73,1,No,Employed,Yes,Dutch,No,0
150,3780-YVMFA,Female,Single,Bank transfer,Study loan debt,83000.00,15000.00,118,9.9%,199.36,23524.73,0,No,Employed,No,Dutch,No,0
151,3874-EQOEP,Male,Single,Electronic check,Outstanding loan,61000.00,20630.00,38,8.3%,619.23,23530.61,2,No,Employed,Yes,Dutch,No,0
152,1679-JRFBR,Female,Married,Bank transfer,Renovation,48000.00,12760.00,56,8.8%,278.66,15604.96,0,Yes,Self-Employed,No,Dutch,Yes,0
153,9073-ZZIAY,Male,Married,Bank transfer,Outstanding loan,39000.00,26400.00,68,8.7%,493.14,33533.83,0,No,Employed,No,Dutch,No,0
154,3077-RSNTJ,Female,Divorced,Electronic check,Study loan debt,77000.00,10000.00,36,8.6%,316.14,11381.00,0,No,Self-Employed,No,Turkish,No,1
155,6551-GNYDG,Female,Divorced,Bank transfer,,84000.00,46000.00,21,8.9%,2373.58,49845.23,0,Yes,Employed,No,Dutch,No,0
156,9167-APMXZ,Female,Married,Mailed check,Outstanding loan,67000.00,26080.00,69,9.4%,490.72,33859.54,0,No,Employed,No,Dutch,No,0
157,2749-CTKAJ,Male,Divorced,Bank transfer,Study loan debt,25000.00,21840.00,52,9.6%,515.05,26782.78,0,No,Employed,No,Dutch,No,0
158,6371-NZYEG,Male,Widowed,Mailed check,,71000.00,11000.00,64,9.8%,221.37,14167.80,0,Yes,Employed,No,Dutch,No,0
159,7554-NEWDD,Male,Divorced,Bank transfer,Study loan debt,70000.00,5000.00,23,8.6%,236.58,5441.25,0,No,Self-Employed,No,Dutch,No,0
160,8992-VONJD,Female,Widowed,Bank transfer,Car,58000.00,15490.00,102,9.5%,221.91,22634.80,0,Yes,Self-Employed,No,Dutch,No,0
161,0867-MKZVY,Female,Married,Bank transfer,Outstanding loan,61000.00,10290.00,66,9.0%,198.24,13083.80,0,No,Employed,No,Dutch,No,0
162,4482-EWFMI,Female,Married,Electronic check,Outstanding loan,29000.00,17000.00,106,9.6%,238.48,25278.72,1,No,Employed,Yes,Dutch,No,0
163,4648-YPBTM,Male,Single,Bank transfer,,62000.00,6230.00,38,8.6%,187.87,7138.94,0,No,Employed,No,Dutch,No,0
164,2907-ILJBN,Female,Registered partnership,Electronic check,Study loan debt,62000.00,8550.00,21,8.4%,439.22,9223.65,0,No,Employed,No,Turkish,No,0
165,6345-FZOQH,Male,Single,Mailed check,Study,46000.00,24440.00,23,9.5%,1166.47,26828.89,0,No,Employed,No,Dutch,No,1
166,3376-BMGFE,,Single,Electronic check,Outstanding loan,75000.00,49000.00,46,9.9%,1284.43,59083.88,0,No,Employed,No,Dutch,No,0
167,5997-OPVFA,Male,Single,Bank transfer,Car,81000.00,20000.00,75,9.6%,355.65,26673.98,0,Yes,Employed,No,Dutch,No,0
168,3445-HXXGF,Male,Married,Electronic check,Other,87000.00,19000.00,115,9.4%,251.26,28895.25,1,Yes,Self-Employed,Yes,Dutch,No,0
169,1159-WFSGR,Female,Married,Bank transfer,Car,74000.00,33000.00,68,8.3%,609.98,41478.53,0,Yes,Employed,No,DUTCH,No,0
170,7654-YWJUF,Male,Single,Electronic check,Study,70000.00,34000.00,80,9.5%,575.32,46025.64,0,No,Employed,No,Dutch,Yes,1
171,1875-QIVME,Female,Married,Bank transfer,Renovation,69000.00,26740.00,74,9.6%,480.21,35535.23,0,Yes,Employed,No,Dutch,No,0
172,6727-IOTLZ,Male,Divorced,Electronic check,Study loan debt,85000.00,44000.00,88,9.2%,689.33,60661.34,0,No,Employed,No,DUTCH,No,0
173,0691-JVSYA,Female,Married,Bank transfer,Other,42000.00,17900.00,110,9.6%,245.31,26983.59,0,Yes,Employed,No,Dutch,No,0
174,5918-VUKWP,Female,Married,Bank transfer,Outstanding loan,67000.00,11850.00,106,9.9%,168.14,17822.98,0,No,Freelancer,No,Dutch,No,1
175,1744-JHKYS,Female,Single,Mailed check,Study,35000.00,17710.00,117,9.5%,232.70,27225.61,0,No,Employed,No,Dutch,No,0
176,2656-FMOKZ,Female,Married,Bank transfer,Study loan debt,55000.00,13280.00,23,9.9%,636.27,14634.30,0,No,Self-Employed,No,Dutch,No,0
177,2070-FNEXE,Female,Married,Credit card,Study loan debt,76000.00,47000.00,84,9.9%,777.83,65337.66,0,No,Self-Employed,No,DUTCH,No,1
